apName,protocol,ssid
0,DOT11AC,NUS_STU
1,DOT11N2_4GNZ,eduroam
1,DOT11N2_4GNZ,NUS_STU
1,DOT11N2_4GNZ,NUS_STU_2-4GHz
2,DOT11AC,NUS_STU
3,DOT11AC,NUS_STU
3,DOT11N2_4GNZ,NUS_STU
3,DOT11N2_4GNZ,NUS_STU_2-4GHz
4,DOT11AC,NUS_STU
5,DOT11AC,NUS_STU
6,DOT11AC,NUS_STU
6,DOT11N2_4GNZ,NUS_STU
7,DOT11AC,NUS_STU
7,DOT11N2_4GNZ,eduroam
7,DOT11N2_4GNZ,NUS_STU
7,DOT11N2_4GNZ,NUS_STU_2-4GHz
8,DOT11AC,NUS_STU
9,DOT11AC,NUS_STU
9,DOT11N2_4GNZ,NUS_STU
9,DOT11N2_4GNZ,NUS_STU_2-4GHz
9,DOT11AC,eduroam
10,DOT11AC,NUS_STU
11,DOT11N2_4GNZ,eduroam
11,DOT11N5GHZ,NUS_STU
11,DOT11N2_4GNZ,NUS_STU
11,DOT11N5GHZ,eduroam
11,DOT11N2_4GNZ,NUS_STU_2-4GHz
12,DOT11AC,NUS_STU
13,DOT11AC,NUS_STU
14,DOT11N2_4GNZ,eduroam
14,DOT11N5GHZ,NUS_STU
14,DOT11N2_4GNZ,NUS_STU
14,DOT11N2_4GNZ,NUS_STU_2-4GHz
15,DOT11AC,NUS_STU
15,DOT11N2_4GNZ,eduroam
15,DOT11N5GHZ,NUS_STU
15,DOT11N2_4GNZ,NUS_STU
15,DOT11N2_4GNZ,NUS_STU_2-4GHz
16,DOT11N5GHZ,NUS_STU
17,DOT11AC,NUS_STU
17,DOT11N5GHZ,NUS_STU
17,DOT11N2_4GNZ,NUS_STU
17,DOT11N2_4GNZ,NUS_STU_2-4GHz
18,DOT11N2_4GNZ,eduroam
18,DOT11N5GHZ,NUS_STU
18,DOT11N2_4GNZ,NUS_STU
18,DOT11N5GHZ,eduroam
18,DOT11N2_4GNZ,NUS_STU_2-4GHz
19,DOT11N5GHZ,NUS_STU
19,DOT11N2_4GNZ,NUS_STU
19,DOT11N5GHZ,eduroam
19,DOT11N2_4GNZ,NUS_STU_2-4GHz
20,DOT11AC,NUS_STU
20,DOT11N5GHZ,NUS_STU
20,DOT11N2_4GNZ,NUS_STU
20,DOT11N2_4GNZ,NUS_STU_2-4GHz
21,DOT11AC,NUS_STU
22,DOT11AC,NUS_STU
23,DOT11AC,NUS_STU
23,DOT11N5GHZ,NUS_STU
23,DOT11N2_4GNZ,NUS_STU
23,DOT11N2_4GNZ,NUS_STU_2-4GHz
24,DOT11AC,NUS_STU
24,DOT11N2_4GNZ,NUS_STU
24,DOT11N2_4GNZ,NUS_STU_2-4GHz
25,DOT11AC,NUS_STU
25,DOT11N2_4GNZ,NUS_STU_2-4GHz
26,DOT11AC,NUS_STU
26,DOT11N2_4GNZ,NUS_STU
26,DOT11N2_4GNZ,NUS_STU_2-4GHz
27,DOT11AC,NUS_STU
27,DOT11N5GHZ,NUS_STU
27,DOT11N2_4GNZ,NUS_STU
27,DOT11N2_4GNZ,NUS_STU_2-4GHz
27,DOT11AC,eduroam
28,DOT11AC,NUS_STU
28,DOT11N2_4GNZ,NUS_STU
28,DOT11N2_4GNZ,NUS_STU_2-4GHz
29,DOT11AC,NUS_STU
29,DOT11N2_4GNZ,NUS_STU
29,DOT11N2_4GNZ,NUS_STU_2-4GHz
30,DOT11AC,NUS_STU
30,DOT11N5GHZ,NUS_STU
30,DOT11N2_4GNZ,NUS_STU
30,DOT11N2_4GNZ,NUS_STU_2-4GHz
30,DOT11AC,eduroam
31,DOT11AC,NUS_STU
31,DOT11N2_4GNZ,NUS_STU
31,DOT11N2_4GNZ,NUS_STU_2-4GHz
32,DOT11AC,NUS_STU
32,DOT11N5GHZ,NUS_STU
32,DOT11N2_4GNZ,NUS_STU
32,DOT11N2_4GNZ,NUS_STU_2-4GHz
33,DOT11AC,NUS_STU
33,DOT11N5GHZ,NUS_STU
33,DOT11N2_4GNZ,NUS_STU
33,DOT11N2_4GNZ,NUS_STU_2-4GHz
34,DOT11N5GHZ,NUS_STU
34,DOT11N2_4GNZ,NUS_STU
34,DOT11N2_4GNZ,NUS_STU_2-4GHz
35,DOT11N5GHZ,NUS_STU
35,DOT11N2_4GNZ,NUS_STU
35,DOT11N5GHZ,eduroam
35,DOT11N2_4GNZ,NUS_STU_2-4GHz
36,DOT11AC,NUS_STU
36,DOT11N2_4GNZ,NUS_STU
37,DOT11N5GHZ,NUS_STU
37,DOT11N2_4GNZ,NUS_STU
37,DOT11N2_4GNZ,NUS_STU_2-4GHz
38,DOT11AC,NUS_STU
38,DOT11N5GHZ,NUS_STU
38,DOT11N2_4GNZ,NUS_STU
38,DOT11N2_4GNZ,NUS_STU_2-4GHz
39,DOT11AC,NUS_STU
39,DOT11N5GHZ,NUS_STU
39,DOT11N2_4GNZ,NUS_STU
39,DOT11N2_4GNZ,NUS_STU_2-4GHz
40,DOT11N2_4GNZ,eduroam
40,DOT11N5GHZ,NUS_STU
40,DOT11N2_4GNZ,NUS_STU
40,DOT11N5GHZ,eduroam
41,DOT11AC,NUS_STU
41,DOT11N2_4GNZ,NUS_STU
41,DOT11N2_4GNZ,NUS_STU_2-4GHz
42,DOT11AC,NUS_STU
42,DOT11N5GHZ,NUS_STU
42,DOT11N2_4GNZ,NUS_STU
42,DOT11N2_4GNZ,NUS_STU_2-4GHz
43,DOT11N5GHZ,NUS_STU
43,DOT11N5GHZ,NUS
44,DOT11N5GHZ,NUS_STU
44,DOT11N2_4GNZ,NUS_STU_2-4GHz
45,DOT11N5GHZ,NUS_STU
45,DOT11N2_4GNZ,NUS_STU
45,DOT11N2_4GNZ,NUS_STU_2-4GHz
46,DOT11AC,NUS_STU
46,DOT11N5GHZ,NUS_STU
46,DOT11N2_4GNZ,NUS_STU
46,DOT11N2_4GNZ,NUS_STU_2-4GHz
47,DOT11AC,NUS_STU
47,DOT11N5GHZ,NUS_STU
48,DOT11AC,NUS_STU
48,DOT11N2_4GNZ,NUS_STU
48,DOT11N2_4GNZ,NUS_STU_2-4GHz
49,DOT11AC,NUS_STU
50,DOT11AC,NUS_STU
51,DOT11AC,NUS_STU
51,DOT11N2_4GNZ,NUS_STU
51,DOT11N2_4GNZ,NUS_STU_2-4GHz
52,DOT11AC,NUS_STU
52,DOT11N2_4GNZ,NUS_STU
52,DOT11N2_4GNZ,NUS_STU_2-4GHz
53,DOT11N2_4GNZ,NUS_STU
53,DOT11N2_4GNZ,NUS_STU_2-4GHz
54,DOT11AC,NUS_STU
54,DOT11N2_4GNZ,NUS_STU
54,DOT11N2_4GNZ,NUS_STU_2-4GHz
54,DOT11AC,eduroam
55,DOT11AC,NUS_STU
56,DOT11AC,NUS_STU
57,DOT11AC,NUS_STU
57,DOT11N2_4GNZ,NUS_STU
57,DOT11N2_4GNZ,NUS_STU_2-4GHz
58,DOT11AC,NUS_STU
58,DOT11N2_4GNZ,NUS_STU
58,DOT11N2_4GNZ,NUS_STU_2-4GHz
59,DOT11AC,NUS_STU
60,DOT11AC,NUS_STU
60,DOT11N5GHZ,NUS_STU
61,DOT11AC,NUS_STU
61,DOT11N2_4GNZ,NUS_STU
61,DOT11N2_4GNZ,NUS_STU_2-4GHz
62,DOT11AC,NUS_STU
62,DOT11N2_4GNZ,NUS_STU
62,DOT11N2_4GNZ,NUS_STU_2-4GHz
63,DOT11AC,NUS_STU
63,DOT11N2_4GNZ,NUS_STU
64,DOT11AC,NUS_STU
64,DOT11N2_4GNZ,NUS_STU
65,DOT11AC,NUS_STU
65,DOT11N2_4GNZ,eduroam
65,DOT11G,NUS_STU
65,DOT11N5GHZ,NUS_STU
65,DOT11N2_4GNZ,NUS_STU
65,DOT11N5GHZ,eduroam
65,DOT11N2_4GNZ,NUS_STU_2-4GHz
65,DOT11AC,eduroam
66,DOT11AC,NUS_STU
66,DOT11N2_4GNZ,eduroam
66,DOT11N2_4GNZ,NUS_STU
66,DOT11N5GHZ,eduroam
66,DOT11N2_4GNZ,NUS_STU_2-4GHz
67,DOT11N5GHZ,NUS_STU
67,DOT11N2_4GNZ,NUS_STU
67,DOT11N2_4GNZ,NUS_STU_2-4GHz
68,DOT11AC,NUS_STU
68,DOT11N2_4GNZ,NUS_STU
69,DOT11N2_4GNZ,NUS_STU_2-4GHz
70,DOT11N5GHZ,NUS_STU
70,DOT11N2_4GNZ,NUS_STU
70,DOT11N2_4GNZ,NUS_STU_2-4GHz
71,DOT11N5GHZ,NUS_STU
71,DOT11N2_4GNZ,NUS_STU_2-4GHz
72,DOT11N5GHZ,NUS_STU
72,DOT11N2_4GNZ,NUS_STU
72,DOT11N2_4GNZ,NUS_STU_2-4GHz
73,DOT11N5GHZ,NUS_STU
73,DOT11N2_4GNZ,NUS_STU
73,DOT11N2_4GNZ,NUS_STU_2-4GHz
74,DOT11N2_4GNZ,NUS_STU
74,DOT11N2_4GNZ,NUS_STU_2-4GHz
75,DOT11AC,NUS_STU
75,DOT11N2_4GNZ,eduroam
75,DOT11N5GHZ,NUS_STU
75,DOT11N2_4GNZ,NUS_STU
75,DOT11N5GHZ,eduroam
75,DOT11N2_4GNZ,NUS_STU_2-4GHz
75,DOT11AC,eduroam
76,DOT11AC,NUS_STU
76,DOT11N2_4GNZ,NUS_STU
76,DOT11N2_4GNZ,NUS_STU_2-4GHz
77,DOT11N5GHZ,NUS_STU
77,DOT11N2_4GNZ,NUS_STU_2-4GHz
78,DOT11N2_4GNZ,eduroam
78,DOT11N5GHZ,NUS_STU
78,DOT11N2_4GNZ,NUS_STU
78,DOT11N2_4GNZ,NUS_STU_2-4GHz
79,DOT11AC,NUS_STU
79,DOT11N2_4GNZ,NUS_STU
79,DOT11N2_4GNZ,NUS_STU_2-4GHz
80,DOT11AC,NUS_STU
81,DOT11AC,NUS_STU
81,DOT11N5GHZ,NUS_STU
82,DOT11AC,NUS_STU
82,DOT11N5GHZ,NUS_STU
82,DOT11N2_4GNZ,NUS_STU
82,DOT11N2_4GNZ,NUS_STU_2-4GHz
83,DOT11AC,NUS_STU
84,DOT11AC,NUS_STU
85,DOT11AC,NUS_STU
85,DOT11N5GHZ,NUS_STU
86,DOT11AC,NUS_STU
86,DOT11N2_4GNZ,NUS_STU
87,DOT11AC,NUS_STU
88,DOT11N2_4GNZ,NUS_STU_2-4GHz
89,DOT11AC,NUS_STU
90,DOT11N5GHZ,NUS_STU
90,DOT11N2_4GNZ,NUS_STU
90,DOT11N2_4GNZ,NUS_STU_2-4GHz
91,DOT11N2_4GNZ,eduroam
91,DOT11N5GHZ,NUS_STU
91,DOT11N5GHZ,eduroam
91,DOT11N2_4GNZ,NUS_STU_2-4GHz
92,DOT11AC,NUS_STU
92,DOT11N5GHZ,NUS_STU
92,DOT11N2_4GNZ,NUS_STU
92,DOT11N2_4GNZ,NUS_STU_2-4GHz
93,DOT11AC,NUS_STU
93,DOT11N5GHZ,NUS_STU
93,DOT11N2_4GNZ,NUS_STU
93,DOT11N2_4GNZ,NUS_STU_2-4GHz
94,DOT11N5GHZ,NUS_STU
94,DOT11N2_4GNZ,NUS_STU
94,DOT11N2_4GNZ,NUS_STU_2-4GHz
95,DOT11AC,NUS_STU
95,DOT11N2_4GNZ,NUS_STU
95,DOT11N2_4GNZ,NUS_STU_2-4GHz
96,DOT11AC,NUS_STU
96,DOT11N2_4GNZ,NUS_STU
96,DOT11N2_4GNZ,NUS_STU_2-4GHz
97,DOT11AC,NUS_STU
97,DOT11N5GHZ,NUS_STU
97,DOT11N2_4GNZ,NUS_STU
97,DOT11N2_4GNZ,NUS_STU_2-4GHz
98,DOT11N5GHZ,NUS_STU
98,DOT11N2_4GNZ,NUS_STU
98,DOT11N2_4GNZ,NUS_STU_2-4GHz
99,DOT11N5GHZ,NUS_STU
99,DOT11N2_4GNZ,NUS_STU
99,DOT11N5GHZ,eduroam
99,DOT11N2_4GNZ,NUS_STU_2-4GHz
100,DOT11AC,NUS_STU
100,DOT11N2_4GNZ,NUS_STU
100,DOT11N2_4GNZ,NUS_STU_2-4GHz
101,DOT11AC,NUS_STU
101,DOT11N2_4GNZ,NUS_STU
101,DOT11N2_4GNZ,NUS_STU_2-4GHz
102,DOT11AC,NUS_STU
102,DOT11N2_4GNZ,NUS_STU
102,DOT11N2_4GNZ,NUS_STU_2-4GHz
103,DOT11N2_4GNZ,eduroam
103,DOT11N5GHZ,NUS_STU
103,DOT11N2_4GNZ,NUS_STU
103,DOT11N5GHZ,eduroam
103,DOT11N2_4GNZ,NUS_STU_2-4GHz
104,DOT11AC,NUS_STU
104,DOT11N2_4GNZ,NUS_STU
105,DOT11N5GHZ,NUS_STU
105,DOT11N2_4GNZ,NUS_STU
105,DOT11N2_4GNZ,NUS_STU_2-4GHz
106,DOT11N2_4GNZ,eduroam
106,DOT11N5GHZ,NUS_STU
106,DOT11N2_4GNZ,NUS_STU
106,DOT11N5GHZ,eduroam
106,DOT11N2_4GNZ,NUS_STU_2-4GHz
107,DOT11N5GHZ,NUS_STU
107,DOT11N2_4GNZ,NUS_STU
107,DOT11N5GHZ,eduroam
107,DOT11N2_4GNZ,NUS_STU_2-4GHz
108,DOT11AC,NUS_STU
109,DOT11AC,NUS_STU
109,DOT11N2_4GNZ,eduroam
109,DOT11N2_4GNZ,NUS_STU
109,DOT11N2_4GNZ,NUS_STU_2-4GHz
110,DOT11N2_4GNZ,NUS_STU
111,DOT11N2_4GNZ,eduroam
111,DOT11N5GHZ,NUS_STU
111,DOT11N2_4GNZ,NUS_STU
111,DOT11N5GHZ,eduroam
111,DOT11N2_4GNZ,NUS_STU_2-4GHz
112,DOT11N2_4GNZ,NUS_STU
113,DOT11N2_4GNZ,NUS_STU
114,DOT11AC,NUS_STU
114,DOT11N2_4GNZ,NUS_2-4GHz
114,DOT11N5GHZ,NUS_STU
114,DOT11N2_4GNZ,NUS_STU
114,DOT11N2_4GNZ,NUS_STU_2-4GHz
114,DOT11AC,eduroam
115,DOT11N5GHZ,NUS_STU
115,DOT11N2_4GNZ,NUS_STU
116,DOT11N5GHZ,NUS_STU
116,DOT11N2_4GNZ,NUS_STU
116,DOT11N5GHZ,eduroam
116,DOT11N2_4GNZ,NUS_STU_2-4GHz
117,DOT11N5GHZ,NUS_STU
117,DOT11N2_4GNZ,NUS_STU
117,DOT11N2_4GNZ,NUS_STU_2-4GHz
118,DOT11N2_4GNZ,NUS_2-4GHz
118,DOT11N5GHZ,NUS_STU
118,DOT11N2_4GNZ,NUS_STU
118,DOT11N2_4GNZ,NUS_STU_2-4GHz
119,DOT11N2_4GNZ,eduroam
119,DOT11N5GHZ,NUS_STU
119,DOT11N2_4GNZ,NUS_STU
119,DOT11N5GHZ,eduroam
119,DOT11N2_4GNZ,NUS_STU_2-4GHz
120,DOT11N2_4GNZ,eduroam
120,DOT11N5GHZ,NUS_STU
120,DOT11N2_4GNZ,NUS_STU
120,DOT11N2_4GNZ,NUS_STU_2-4GHz
121,DOT11N2_4GNZ,NUS_STU
121,DOT11N2_4GNZ,NUS_STU_2-4GHz
122,DOT11AC,NUS_STU
122,DOT11N2_4GNZ,NUS_2-4GHz
122,DOT11N2_4GNZ,NUS_STU
122,DOT11N2_4GNZ,NUS_STU_2-4GHz
123,DOT11AC,NUS_STU
123,DOT11N2_4GNZ,eduroam
123,DOT11N2_4GNZ,NUS_STU
123,DOT11N5GHZ,eduroam
123,DOT11N2_4GNZ,NUS_STU_2-4GHz
123,DOT11AC,eduroam
124,DOT11N2_4GNZ,eduroam
124,DOT11N5GHZ,NUS_STU
124,DOT11N2_4GNZ,NUS_STU
124,DOT11N2_4GNZ,NUS_STU_2-4GHz
125,DOT11AC,NUS_STU
125,DOT11N2_4GNZ,NUS_2-4GHz
125,DOT11N2_4GNZ,NUS_STU
125,DOT11N2_4GNZ,NUS_STU_2-4GHz
126,DOT11AC,NUS_STU
126,DOT11N2_4GNZ,NUS_STU
126,DOT11N2_4GNZ,NUS_STU_2-4GHz
127,DOT11AC,NUS_STU
127,DOT11N2_4GNZ,eduroam
127,DOT11N5GHZ,NUS_STU
127,DOT11N2_4GNZ,NUS_STU
127,DOT11N2_4GNZ,NUS_STU_2-4GHz
128,DOT11AC,NUS_STU
128,DOT11N2_4GNZ,NUS_STU_2-4GHz
129,DOT11N5GHZ,NUS_STU
129,DOT11N2_4GNZ,NUS_STU
129,DOT11N2_4GNZ,NUS_STU_2-4GHz
130,DOT11N2_4GNZ,NUS_STU
130,DOT11N2_4GNZ,NUS_STU_2-4GHz
131,DOT11N5GHZ,NUS_STU
131,DOT11N2_4GNZ,NUS_STU
131,DOT11N5GHZ,NUS
131,DOT11N5GHZ,eduroam
131,DOT11N2_4GNZ,NUS_STU_2-4GHz
132,DOT11AC,NUS_STU
132,DOT11N2_4GNZ,NUS_STU
132,DOT11N2_4GNZ,NUS_STU_2-4GHz
133,DOT11AC,NUS_STU
133,DOT11N2_4GNZ,NUS_STU
133,DOT11N2_4GNZ,NUS_STU_2-4GHz
134,DOT11N5GHZ,NUS_STU
134,DOT11N2_4GNZ,NUS_STU
134,DOT11N2_4GNZ,NUS_STU_2-4GHz
135,DOT11N5GHZ,NUS_STU
135,DOT11N2_4GNZ,NUS_STU
135,DOT11N5GHZ,eduroam
135,DOT11N2_4GNZ,NUS_STU_2-4GHz
136,DOT11AC,NUS_STU
136,DOT11N5GHZ,NUS_STU
136,DOT11N2_4GNZ,NUS_STU
136,DOT11N2_4GNZ,NUS_STU_2-4GHz
136,DOT11AC,eduroam
137,DOT11N2_4GNZ,eduroam
137,DOT11N5GHZ,NUS_STU
137,DOT11N2_4GNZ,NUS_STU
137,DOT11N2_4GNZ,NUS_STU_2-4GHz
138,DOT11N5GHZ,NUS_STU
138,DOT11N5GHZ,eduroam
138,DOT11N2_4GNZ,NUS_STU_2-4GHz
139,DOT11N5GHZ,NUS_STU
139,DOT11N2_4GNZ,NUS_STU
139,DOT11N5GHZ,NUS
139,DOT11N2_4GNZ,NUS_STU_2-4GHz
140,DOT11N2_4GNZ,NUS_STU
141,DOT11N5GHZ,NUS_STU
141,DOT11N2_4GNZ,NUS_STU
142,DOT11AC,NUS_STU
142,DOT11N5GHZ,NUS_STU
142,DOT11AC,eduroam
143,DOT11N5GHZ,NUS_STU
143,DOT11N2_4GNZ,NUS_STU_2-4GHz
144,DOT11AC,NUS_STU
144,DOT11N5GHZ,NUS_STU
144,DOT11AC,eduroam
145,DOT11N5GHZ,NUS_STU
145,DOT11N2_4GNZ,NUS_STU
145,DOT11N2_4GNZ,NUS_STU_2-4GHz
146,DOT11AC,NUS_STU
146,DOT11N5GHZ,NUS_STU
146,DOT11N2_4GNZ,NUS_STU
146,DOT11N2_4GNZ,NUS_STU_2-4GHz
146,DOT11AC,eduroam
147,DOT11N2_4GNZ,NUS
147,DOT11N5GHZ,NUS_STU
147,DOT11N2_4GNZ,NUS_STU
147,DOT11N5GHZ,eduroam
147,DOT11N2_4GNZ,NUS_STU_2-4GHz
148,DOT11AC,NUS_STU
148,DOT11N5GHZ,NUS_STU
148,DOT11N2_4GNZ,NUS_STU
148,DOT11N2_4GNZ,NUS_STU_2-4GHz
149,DOT11AC,NUS_STU
149,DOT11N5GHZ,NUS_STU
149,DOT11N2_4GNZ,NUS_STU
149,DOT11N2_4GNZ,NUS_STU_2-4GHz
150,DOT11N5GHZ,NUS_STU
150,DOT11N2_4GNZ,NUS_STU
150,DOT11N5GHZ,eduroam
151,DOT11AC,NUS_STU
151,DOT11N2_4GNZ,NUS_STU
151,DOT11N2_4GNZ,NUS_STU_2-4GHz
152,DOT11N5GHZ,NUS_STU
152,DOT11N2_4GNZ,NUS_STU
152,DOT11N5GHZ,eduroam
153,DOT11AC,NUS_STU
153,DOT11AC,NUS
153,DOT11N5GHZ,NUS_STU
153,DOT11N5GHZ,eduroam
153,DOT11AC,eduroam
154,DOT11AC,NUS_STU
154,DOT11AC,NUS
154,DOT11N5GHZ,NUS_STU
154,DOT11AC,eduroam
155,DOT11AC,NUS_STU
155,DOT11N5GHZ,NUS_STU
155,DOT11N2_4GNZ,NUS_STU
155,DOT11N2_4GNZ,NUS_STU_2-4GHz
155,DOT11AC,eduroam
156,DOT11AC,NUS_STU
156,DOT11N5GHZ,NUS_STU
156,DOT11AC,eduroam
157,DOT11AC,NUS_STU
157,DOT11N2_4GNZ,eduroam
157,DOT11N5GHZ,NUS_STU
157,DOT11N2_4GNZ,NUS_STU
157,DOT11N2_4GNZ,NUS_STU_2-4GHz
157,DOT11AC,eduroam
158,DOT11AC,NUS_STU
158,DOT11AC,NUS
158,DOT11N5GHZ,NUS_STU
158,DOT11N5GHZ,eduroam
158,DOT11AC,eduroam
159,DOT11N2_4GNZ,NUS_STU
160,DOT11AC,NUS_STU
160,DOT11N5GHZ,NUS_STU
160,DOT11AC,eduroam
161,DOT11N5GHZ,NUS_STU
161,DOT11N2_4GNZ,NUS_STU
161,DOT11N5GHZ,eduroam
161,DOT11N2_4GNZ,NUS_STU_2-4GHz
162,DOT11N5GHZ,NUS_STU
162,DOT11N2_4GNZ,NUS_STU
162,DOT11N5GHZ,eduroam
162,DOT11N2_4GNZ,NUS_STU_2-4GHz
163,DOT11N5GHZ,NUS_STU
163,DOT11N2_4GNZ,NUS_STU
163,DOT11N2_4GNZ,NUS_STU_2-4GHz
164,DOT11AC,NUS_STU
164,DOT11N2_4GNZ,eduroam
164,DOT11N5GHZ,NUS_STU
164,DOT11N2_4GNZ,NUS_STU
164,DOT11N2_4GNZ,NUS_STU_2-4GHz
165,DOT11N5GHZ,NUS_STU
165,DOT11N2_4GNZ,NUS_STU
165,DOT11N2_4GNZ,NUS_STU_2-4GHz
166,DOT11N5GHZ,NUS_STU
166,DOT11N2_4GNZ,NUS_STU
166,DOT11N5GHZ,eduroam
166,DOT11N2_4GNZ,NUS_STU_2-4GHz
167,DOT11N5GHZ,NUS_STU
167,DOT11N2_4GNZ,NUS_STU
167,DOT11N2_4GNZ,NUS_STU_2-4GHz
168,DOT11AC,NUS_STU
168,DOT11N5GHZ,NUS_STU
168,DOT11N2_4GNZ,NUS_STU
168,DOT11N2_4GNZ,NUS_STU_2-4GHz
168,DOT11AC,eduroam
169,DOT11AC,NUS_STU
169,DOT11N5GHZ,NUS_STU
169,DOT11N2_4GNZ,NUS_STU
169,DOT11N2_4GNZ,NUS_STU_2-4GHz
169,DOT11AC,eduroam
170,DOT11AC,NUS_STU
170,DOT11N5GHZ,NUS_STU
170,DOT11N2_4GNZ,NUS_STU
170,DOT11N2_4GNZ,NUS_STU_2-4GHz
170,DOT11AC,eduroam
171,DOT11AC,NUS_STU
172,DOT11AC,NUS_STU
172,DOT11N5GHZ,NUS_STU
172,DOT11N2_4GNZ,NUS_STU
172,DOT11N2_4GNZ,NUS_STU_2-4GHz
